"oid";"nameandversion"
1;"Android 1.0 "
2;"Android 2.0 Eclair"
3;"Android 3.0 Honeycomb"
4;"Android 4.0 Ice Cream Sandwich"
5;"Android 4.1 Jelly Bean"
6;"Android 4.4 Kit Kat"
7;"Android 5.0 Lollipop"
8;"Android 6.0 Marshmallow"
9;"Android 7.0 Nougat"
10;"Android 8.0 Oreo"
11;"Android 9.0 Pie"
12;"Android one"
13;"iPhone OS 1"
14;"iPhone OS 2"
15;"iPhone OS 3"
16;"iOS 4"
17;"iOS 5"
18;"iOS 6"
19;"iOS 7"
20;"iOS 8"
21;"iOS 9"
22;"iOS 10"
23;"iOS 11"
24;"iOS 12"
25;"Symbian OS 6.0"
26;"Symbian OS 7.0"
27;"Symbian OS 8.0"
28;"Symbian OS 8.1"
29;"Symbian OS 9.0"
30;"Symbian OS 9.1"
31;"Symbian OS 9.2"
32;"Symbian OS 9.3"
33;"Symbian OS 9.4"
34;"Symbian 2"
35;"Symbian 3 (Symbian 9.5)"
36;"Nokia Belle (Symbian OS 10.1)"
37;"Windows CE"
38;"Windows Mobile 2003"
39;"Windows Mobile 2003 SE"
40;"Windows Mobile 5"
41;"Windows Mobile 6"
42;"Windows Mobile 6.1"
43;"Windows Mobile 6.5"
44;"Windows Phone 7"
45;"Windows Phone 7.5"
46;"Windows Phone 7.8"
47;"Windows Phone 8"
48;"Windows Phone 8.1"
49;"Windows 10 Mobile"
